frame,time_s,x_px,y_px,area_px,detected
217,3.609151,855.82,219.68,5391.0,True
218,3.625783,856.03,219.59,5357.5,True
219,3.642415,856.29,219.35,5394.0,True
220,3.659047,855.92,219.27,5404.5,True
221,3.675679,855.91,219.28,5423.0,True
222,3.692311,855.59,219.31,5381.5,True
223,3.708943,855.78,219.27,5397.5,True
224,3.725575,855.88,219.47,5388.0,True
225,3.742207,855.80,219.61,5384.5,True
226,3.758839,856.06,219.66,5376.5,True
227,3.775471,856.12,219.93,5371.5,True
228,3.792103,856.19,219.88,5390.0,True
229,3.808735,856.14,219.79,5402.0,True
230,3.825367,856.05,219.70,5393.5,True
231,3.841999,855.85,219.44,5464.5,True
232,3.858631,855.79,219.28,5436.0,True
233,3.875263,855.98,219.37,5424.0,True
234,3.891895,855.95,219.47,5412.5,True
235,3.908527,856.20,219.32,5418.5,True
236,3.925159,856.19,219.39,5418.0,True
237,3.941791,856.04,219.55,5398.0,True
238,3.958423,856.21,219.53,5394.5,True
239,3.975055,858.51,219.57,5389.5,True
240,3.991687,861.51,219.52,5388.5,True
241,4.008319,864.34,219.46,5428.5,True
242,4.024951,866.86,219.35,5392.0,True
243,4.041584,868.77,219.40,5395.0,True
244,4.058216,870.41,219.17,5418.0,True
245,4.074848,872.12,219.33,5382.5,True
246,4.091480,873.27,219.25,5352.0,True
247,4.108112,874.22,219.25,5391.5,True
248,4.124744,875.63,219.18,5380.5,True
249,4.141376,877.22,218.92,5372.5,True
250,4.158008,878.79,218.88,5386.0,True
251,4.174640,881.45,218.99,5368.5,True
252,4.191272,883.68,219.09,5367.5,True
253,4.207904,886.10,219.61,5363.0,True
254,4.224536,887.87,219.59,5347.5,True
255,4.241168,890.39,219.53,5357.5,True
256,4.257800,892.41,219.37,5349.0,True
257,4.274432,894.06,219.34,5326.5,True
258,4.291064,896.68,219.19,5331.5,True
259,4.307696,899.05,219.23,5333.5,True
260,4.324328,901.46,219.19,5359.5,True
261,4.340960,903.24,219.09,5378.5,True
262,4.357592,904.24,219.18,5399.5,True
263,4.374224,906.10,219.09,5422.0,True
264,4.390856,907.50,219.18,5370.0,True
265,4.407488,909.28,219.25,5356.0,True
266,4.424120,911.37,219.19,5360.5,True
267,4.440752,913.48,219.02,5395.5,True
268,4.457384,916.42,219.29,5415.0,True
269,4.474016,920.05,219.57,5396.5,True
270,4.490648,922.96,219.20,5441.0,True
271,4.507280,925.55,219.44,5375.5,True
272,4.523912,927.71,219.37,5424.0,True
273,4.540544,929.75,219.21,5409.5,True
274,4.557176,931.25,219.03,5403.5,True
275,4.573809,932.60,218.93,5403.0,True
276,4.590441,934.71,218.76,5393.0,True
277,4.607073,936.89,218.90,5410.0,True
278,4.623705,937.83,219.05,5428.5,True
279,4.640337,939.67,219.41,5447.5,True
280,4.656969,942.72,219.19,5391.5,True
281,4.673601,945.41,219.24,5421.0,True
282,4.690233,947.55,219.34,5414.0,True
283,4.706865,949.94,219.44,5416.0,True
284,4.723497,951.10,219.52,5408.5,True
285,4.740129,953.46,219.34,5393.5,True
286,4.756761,955.10,219.25,5382.5,True
287,4.773393,957.12,219.05,5446.5,True
288,4.790025,958.00,218.90,5440.5,True
289,4.806657,959.44,218.92,5426.0,True
290,4.823289,961.51,219.08,5423.5,True
291,4.839921,963.84,218.98,5442.5,True
292,4.856553,966.68,218.90,5462.5,True
293,4.873185,969.36,218.91,5446.5,True
294,4.889817,971.29,218.82,5439.5,True
295,4.906449,973.40,219.03,5433.0,True
296,4.923081,974.46,219.33,5390.0,True
297,4.939713,976.17,219.44,5421.0,True
298,4.956345,978.06,219.43,5459.5,True
299,4.972977,981.56,219.27,5404.0,True
300,4.989609,985.11,218.89,5414.5,True
301,5.006241,989.48,218.87,5440.5,True
302,5.022873,993.21,218.92,5406.0,True
303,5.039505,997.65,218.87,5424.5,True
304,5.056137,1000.35,218.89,5455.5,True
305,5.072769,1003.29,218.72,5373.5,True
306,5.089401,1006.42,218.88,5414.0,True
307,5.106034,1008.33,219.02,5416.5,True
308,5.122666,1011.23,219.28,5363.0,True
309,5.139298,1014.51,219.40,5399.0,True
310,5.155930,1017.39,219.25,5408.0,True
311,5.172562,1019.87,219.30,5424.0,True
312,5.189194,1021.32,219.05,5410.5,True
313,5.205826,1021.41,218.87,5418.0,True
314,5.222458,1021.38,218.97,5400.0,True
315,5.239090,1022.25,218.89,5448.0,True
316,5.255722,1024.23,218.81,5458.5,True
317,5.272354,1026.36,218.85,5441.0,True
318,5.288986,1028.18,218.92,5425.0,True
319,5.305618,1030.30,219.00,5405.5,True
320,5.322250,1032.62,218.96,5435.5,True
321,5.338882,1033.16,218.95,5392.5,True
322,5.355514,1033.15,219.03,5369.5,True
323,5.372146,1033.04,219.10,5407.5,True
324,5.388778,1032.99,219.07,5392.0,True
325,5.405410,1033.01,219.05,5416.5,True
326,5.422042,1032.92,219.19,5397.0,True
327,5.438674,1033.25,219.17,5386.0,True
328,5.455306,1033.40,219.22,5389.0,True
329,5.471938,1033.75,219.21,5416.0,True
330,5.488570,1036.20,219.00,5453.0,True
331,5.505202,1037.74,218.86,5440.0,True
332,5.521834,1038.90,218.71,5433.5,True
333,5.538466,1039.21,218.81,5396.5,True
334,5.555098,1039.05,218.92,5380.5,True
335,5.571730,1038.96,219.04,5378.0,True
336,5.588362,1039.25,219.09,5375.0,True
337,5.604994,1039.38,219.23,5401.5,True
338,5.621626,1039.70,219.32,5417.5,True
339,5.638258,1039.84,219.30,5423.0,True
340,5.654891,1039.55,219.27,5399.0,True
341,5.671523,1039.48,218.93,5395.0,True
342,5.688155,1039.39,218.78,5416.0,True
343,5.704787,1039.48,218.56,5420.5,True
344,5.721419,1039.48,218.54,5416.5,True
345,5.738051,1039.50,218.69,5404.0,True
346,5.754683,1039.53,218.80,5417.5,True
347,5.771315,1039.72,218.91,5408.5,True
348,5.787947,1039.67,219.20,5386.0,True
349,5.804579,1039.71,219.29,5384.0,True
350,5.821211,1039.61,219.07,5369.0,True
351,5.837843,1039.52,219.13,5382.5,True
352,5.854475,1044.31,218.99,5443.5,True
353,5.871107,1050.28,219.05,5443.5,True
354,5.887739,1056.04,218.58,5394.5,True
355,5.904371,1056.94,218.30,5346.5,True
356,5.921003,1057.04,218.23,5361.0,True
357,5.937635,1057.13,218.23,5352.5,True
358,5.954267,1057.14,218.29,5317.5,True
359,5.970899,1057.05,218.34,5322.0,True
360,5.987531,1056.82,218.27,5367.0,True
361,6.004163,1056.81,218.42,5339.5,True
362,6.020795,1056.87,218.51,5322.5,True
363,6.037427,1056.96,218.64,5338.5,True
364,6.054059,1056.89,218.47,5330.0,True
365,6.070691,1056.90,218.46,5333.0,True
366,6.087323,1057.05,218.61,5299.0,True
367,6.103955,1056.95,218.32,5344.5,True
368,6.120587,1056.91,218.21,5359.0,True
369,6.137219,1057.04,218.31,5370.0,True
370,6.153851,1056.85,218.10,5354.5,True
