frame,time_s,s_px,ds_px,ds_mm,area_px,detected,valid
147,2.444909,855.223,0.021,0.0034,5358.5,True,True
148,2.461541,855.133,-0.069,-0.0114,5366.0,True,True
149,2.478173,855.124,-0.079,-0.0129,5375.0,True,True
150,2.494805,855.244,0.042,0.0069,5378.0,True,True
151,2.511437,855.236,0.033,0.0054,5400.5,True,True
152,2.528069,855.076,-0.127,-0.0209,5384.5,True,True
153,2.544701,855.015,-0.187,-0.0308,5353.0,True,True
154,2.561333,855.025,-0.177,-0.0291,5359.0,True,True
155,2.577965,854.975,-0.227,-0.0374,5376.0,True,True
156,2.594597,855.075,-0.128,-0.0210,5346.5,True,True
157,2.611229,855.274,0.071,0.0117,5339.0,True,True
158,2.627861,855.273,0.070,0.0116,5326.0,True,True
159,2.644493,855.292,0.090,0.0148,5343.0,True,True
160,2.661125,855.263,0.061,0.0100,5376.0,True,True
161,2.677757,855.223,0.020,0.0034,5376.5,True,True
162,2.694389,855.054,-0.149,-0.0245,5366.5,True,True
163,2.711021,855.085,-0.118,-0.0193,5396.0,True,True
164,2.727653,855.056,-0.147,-0.0241,5398.0,True,True
165,2.744285,855.197,-0.006,-0.0009,5421.5,True,True
166,2.760917,855.357,0.154,0.0253,5408.0,True,True
167,2.777549,855.437,0.234,0.0385,5410.5,True,True
168,2.794181,855.185,-0.017,-0.0028,5358.0,True,True
169,2.810813,855.145,-0.058,-0.0095,5357.5,True,True
170,2.827445,855.164,-0.039,-0.0063,5345.0,True,True
171,2.844077,855.083,-0.119,-0.0196,5329.0,True,True
172,2.860709,854.973,-0.229,-0.0377,5337.5,True,True
173,2.877341,854.894,-0.309,-0.0507,5321.5,True,True
174,2.893973,854.883,-0.319,-0.0525,5344.5,True,True
175,2.910605,854.804,-0.399,-0.0655,5346.5,True,True
176,2.927237,854.734,-0.468,-0.0770,5334.0,True,True
177,2.943869,855.055,-0.148,-0.0243,5368.5,True,True
178,2.960502,855.126,-0.077,-0.0127,5394.0,True,True
179,2.977134,855.236,0.033,0.0054,5372.5,True,True
180,2.993766,855.125,-0.078,-0.0128,5357.5,True,True
181,3.010398,855.055,-0.148,-0.0243,5367.5,True,True
182,3.027030,855.025,-0.178,-0.0292,5369.0,True,True
183,3.043662,855.094,-0.108,-0.0178,5341.5,True,True
184,3.060294,854.934,-0.269,-0.0441,5327.0,True,True
185,3.076926,854.724,-0.479,-0.0787,5336.5,True,True
186,3.093558,854.784,-0.419,-0.0688,5359.5,True,True
187,3.110190,855.074,-0.129,-0.0212,5395.0,True,True
188,3.126822,855.263,0.061,0.0100,5395.5,True,True
189,3.143454,855.284,0.082,0.0134,5377.5,True,True
190,3.160086,855.435,0.232,0.0381,5373.5,True,True
191,3.176718,855.345,0.142,0.0234,5378.5,True,True
192,3.193350,855.116,-0.087,-0.0143,5417.5,True,True
193,3.209982,855.066,-0.136,-0.0224,5407.0,True,True
194,3.226614,854.776,-0.426,-0.0700,5380.5,True,True
195,3.243246,854.755,-0.447,-0.0735,5355.0,True,True
196,3.259878,854.784,-0.418,-0.0687,5348.0,True,True
197,3.276510,854.993,-0.209,-0.0344,5355.0,True,True
198,3.293142,855.113,-0.089,-0.0147,5367.0,True,True
199,3.309774,855.054,-0.149,-0.0245,5361.0,True,True
200,3.326406,855.093,-0.109,-0.0180,5360.5,True,True
201,3.343038,854.993,-0.209,-0.0344,5359.5,True,True
202,3.359670,854.984,-0.219,-0.0359,5350.5,True,True
203,3.376302,854.774,-0.428,-0.0704,5364.5,True,True
204,3.392934,854.956,-0.247,-0.0406,5375.0,True,True
205,3.409566,854.796,-0.407,-0.0668,5376.0,True,True
206,3.426198,854.996,-0.207,-0.0340,5423.0,True,True
207,3.442830,855.025,-0.178,-0.0292,5413.0,True,True
208,3.459462,855.014,-0.188,-0.0310,5391.0,True,True
209,3.476094,855.014,-0.188,-0.0309,5405.5,True,True
210,3.492727,855.054,-0.149,-0.0244,5384.0,True,True
211,3.509359,855.074,-0.129,-0.0211,5372.0,True,True
212,3.525991,855.085,-0.118,-0.0194,5384.0,True,True
