frame,time_s,s_px,ds_px,ds_mm,area_px,detected,valid
268,4.457378,1134.300,58.236,10.1158,4476.0,True,True
269,4.474010,1134.339,58.275,10.1226,4505.0,True,True
270,4.490642,1134.609,58.545,10.1694,4487.0,True,True
271,4.507274,1134.721,58.657,10.1890,4470.0,True,True
272,4.523906,1135.187,59.124,10.2699,4482.5,True,True
273,4.540538,1134.768,58.704,10.1971,4483.5,True,True
274,4.557170,1134.653,58.590,10.1772,4486.0,True,True
275,4.573802,1134.500,58.436,10.1505,4498.5,True,True
276,4.590434,1134.510,58.446,10.1522,4504.5,True,True
277,4.607066,1134.755,58.691,10.1948,4562.0,True,True
278,4.623698,1134.744,58.681,10.1930,4533.0,True,True
279,4.640330,1134.451,58.387,10.1420,4498.0,True,True
280,4.656962,1134.420,58.356,10.1366,4494.0,True,True
281,4.673594,1134.450,58.386,10.1418,4487.5,True,True
282,4.690226,1134.540,58.476,10.1575,4481.0,True,True
283,4.706858,1134.944,58.880,10.2276,4510.0,True,True
284,4.723490,1134.927,58.863,10.2246,4537.0,True,True
285,4.740122,1134.857,58.793,10.2125,4543.0,True,True
286,4.756754,1134.664,58.600,10.1789,4510.0,True,True
287,4.773386,1134.602,58.538,10.1683,4510.0,True,True
288,4.790018,1134.633,58.569,10.1736,4515.5,True,True
289,4.806650,1134.696,58.632,10.1846,4541.0,True,True
290,4.823282,1134.548,58.484,10.1588,4479.5,True,True
291,4.839914,1134.523,58.459,10.1545,4479.0,True,True
292,4.856546,1134.351,58.287,10.1246,4474.5,True,True
293,4.873178,1134.421,58.357,10.1368,4480.5,True,True
294,4.889810,1134.622,58.558,10.1717,4454.5,True,True
295,4.906442,1134.622,58.558,10.1717,4456.0,True,True
296,4.923074,1134.531,58.468,10.1560,4450.0,True,True
297,4.939706,1134.703,58.639,10.1858,4513.5,True,True
298,4.956338,1134.593,58.529,10.1666,4501.0,True,True
299,4.972970,1134.573,58.509,10.1631,4500.5,True,True
300,4.989602,1134.303,58.239,10.1163,4421.5,True,True
301,5.006234,1134.333,58.269,10.1215,4435.0,True,True
302,5.022866,1134.364,58.300,10.1269,4442.5,True,True
303,5.039498,1134.456,58.392,10.1428,4410.0,True,True
304,5.056130,1134.493,58.429,10.1493,4421.0,True,True
305,5.072762,1134.474,58.410,10.1460,4417.0,True,True
306,5.089394,1134.484,58.420,10.1477,4415.5,True,True
307,5.106026,1134.443,58.379,10.1407,4412.0,True,True
308,5.122658,1134.323,58.259,10.1198,4398.0,True,True
309,5.139290,1134.303,58.239,10.1162,4397.5,True,True
310,5.155922,1134.333,58.269,10.1214,4418.0,True,True
311,5.172554,1134.413,58.349,10.1353,4435.5,True,True
312,5.189186,1134.383,58.319,10.1302,4412.5,True,True
313,5.205818,1134.413,58.349,10.1354,4414.5,True,True
314,5.222450,1134.604,58.540,10.1686,4441.0,True,True
315,5.239082,1134.574,58.510,10.1634,4438.0,True,True
316,5.255714,1134.584,58.520,10.1651,4420.5,True,True
317,5.272346,1134.453,58.389,10.1424,4411.0,True,True
318,5.288978,1134.484,58.420,10.1477,4416.5,True,True
319,5.305610,1134.373,58.309,10.1284,4430.0,True,True
320,5.322242,1134.373,58.309,10.1284,4431.0,True,True
321,5.338874,1134.393,58.329,10.1319,4415.5,True,True
322,5.355506,1134.313,58.249,10.1180,4425.0,True,True
323,5.372138,1134.353,58.289,10.1250,4420.0,True,True
324,5.388770,1134.392,58.329,10.1318,4425.0,True,True
325,5.405402,1134.442,58.379,10.1405,4420.0,True,True
326,5.422034,1134.503,58.439,10.1510,4430.0,True,True
327,5.438666,1134.563,58.499,10.1615,4415.0,True,True
328,5.455298,1134.472,58.409,10.1457,4418.5,True,True
329,5.471930,1134.252,58.188,10.1074,4433.5,True,True
330,5.488562,1134.311,58.247,10.1177,4448.0,True,True
331,5.505194,1134.392,58.328,10.1318,4425.0,True,True
332,5.521826,1134.412,58.348,10.1353,4416.0,True,True
333,5.538458,1134.362,58.299,10.1266,4420.0,True,True
334,5.555090,1134.412,58.348,10.1353,4423.0,True,True
335,5.571723,1134.482,58.418,10.1474,4444.0,True,True
336,5.588355,1134.583,58.519,10.1650,4440.5,True,True
337,5.604987,1134.613,58.549,10.1702,4441.5,True,True
338,5.621619,1134.563,58.499,10.1615,4445.0,True,True
339,5.638251,1134.452,58.389,10.1423,4449.0,True,True
340,5.654883,1134.473,58.409,10.1458,4445.5,True,True
341,5.671515,1134.473,58.409,10.1458,4442.0,True,True
342,5.688147,1134.362,58.299,10.1266,4426.0,True,True
343,5.704779,1134.413,58.349,10.1354,4421.5,True,True
344,5.721411,1134.423,58.359,10.1371,4424.5,True,True
345,5.738043,1134.352,58.289,10.1249,4442.5,True,True
346,5.754675,1134.483,58.419,10.1476,4430.0,True,True
347,5.771307,1134.503,58.439,10.1510,4438.0,True,True
348,5.787939,1134.554,58.491,10.1600,4417.0,True,True
349,5.804571,1134.635,58.572,10.1741,4432.5,True,True
350,5.821203,1134.384,58.321,10.1304,4428.0,True,True
351,5.837835,1134.375,58.311,10.1288,4422.5,True,True
352,5.854467,1134.054,57.990,10.0731,4394.5,True,True
353,5.871099,1134.212,58.149,10.1006,4442.5,True,True
354,5.887731,1134.182,58.119,10.0953,4431.0,True,True
355,5.904363,1134.222,58.158,10.1022,4439.0,True,True
356,5.920995,1134.112,58.048,10.0831,4442.0,True,True
357,5.937627,1134.062,57.998,10.0744,4447.5,True,True
358,5.954259,1133.962,57.898,10.0570,4435.0,True,True
359,5.970891,1134.051,57.987,10.0726,4459.0,True,True
360,5.987523,1134.143,58.079,10.0885,4424.5,True,True
361,6.004155,1134.143,58.079,10.0885,4419.5,True,True
362,6.020787,1134.283,58.219,10.1129,4420.5,True,True
363,6.037419,1134.485,58.421,10.1479,4428.5,True,True
364,6.054051,1134.286,58.222,10.1133,4382.5,True,True
365,6.070683,1134.316,58.252,10.1185,4385.5,True,True
366,6.087315,1134.235,58.171,10.1045,4394.5,True,True
367,6.103947,1134.285,58.221,10.1132,4396.0,True,True
368,6.120579,1134.225,58.161,10.1028,4395.0,True,True
369,6.137211,1134.223,58.159,10.1024,4411.0,True,True
370,6.153843,1134.223,58.159,10.1023,4420.0,True,True
371,6.170475,1134.272,58.208,10.1110,4426.0,True,True
372,6.187107,1134.282,58.219,10.1127,4427.0,True,True
373,6.203739,1134.252,58.189,10.1075,4423.5,True,True
374,6.220371,1134.443,58.379,10.1406,4442.5,True,True
375,6.237003,1134.403,58.340,10.1337,4424.0,True,True
376,6.253635,1134.382,58.318,10.1300,4452.0,True,True
377,6.270267,1134.341,58.277,10.1229,4467.0,True,True
378,6.286899,1134.171,58.107,10.0933,4455.0,True,True
379,6.303531,1134.171,58.107,10.0934,4455.5,True,True
380,6.320163,1134.172,58.108,10.0935,4451.5,True,True
381,6.336795,1133.982,57.919,10.0606,4423.5,True,True
382,6.353427,1134.122,58.058,10.0849,4430.0,True,True
383,6.370059,1134.112,58.048,10.0832,4431.0,True,True
384,6.386691,1134.302,58.239,10.1162,4426.0,True,True
385,6.403323,,,,10885.0,True,False
386,6.419955,,,,30188.5,True,False
387,6.436587,,,,46808.5,True,False
388,6.453219,,,,60773.0,True,False
389,6.469851,,,,74837.5,True,False
390,6.486483,,,,89967.0,True,False
391,6.503115,,,,108033.5,True,False
392,6.519747,,,,126452.5,True,False
393,6.536379,,,,143345.0,True,False
394,6.553011,,,,158316.5,True,False
395,6.569643,,,,170234.0,True,False
396,6.586275,,,,179718.5,True,False
397,6.602907,,,,188652.5,True,False
398,6.619539,,,,202786.0,True,False
399,6.636171,,,,212460.5,True,False
400,6.652803,,,,213728.5,True,False
401,6.669435,,,,223774.5,True,False
402,6.686067,,,,231146.5,True,False
403,6.702699,,,,235556.5,True,False
404,6.719331,,,,240633.0,True,False
405,6.735963,,,,246126.0,True,False
406,6.752595,,,,251555.0,True,False
407,6.769227,,,,255712.0,True,False
408,6.785859,,,,262369.0,True,False
409,6.802491,,,,302498.0,True,False
410,6.819123,,,,306394.5,True,False
411,6.835755,,,,310531.0,True,False
412,6.852387,,,,313435.0,True,False
413,6.869019,,,,314490.0,True,False
414,6.885651,,,,316305.0,True,False
415,6.902283,,,,318248.0,True,False
416,6.918915,,,,320434.0,True,False
417,6.935547,,,,323248.0,True,False
418,6.952179,,,,324932.5,True,False
419,6.968811,,,,330294.0,True,False
420,6.985443,,,,323034.5,True,False
421,7.002075,,,,327638.5,True,False
422,7.018707,,,,319953.0,True,False
423,7.035339,,,,308667.0,True,False
424,7.051971,,,,308745.0,True,False
425,7.068603,,,,304546.5,True,False
426,7.085235,,,,304646.5,True,False
427,7.101867,,,,304290.5,True,False
428,7.118499,,,,308786.0,True,False
429,7.135131,,,,307765.0,True,False
430,7.151763,,,,288151.0,True,False
431,7.168395,,,,285321.0,True,False
432,7.185027,,,,280275.5,True,False
433,7.201659,,,,279047.0,True,False
434,7.218291,,,,275343.5,True,False
435,7.234923,,,,269641.5,True,False
436,7.251555,,,,266354.5,True,False
437,7.268187,,,,260680.5,True,False
438,7.284819,,,,255308.0,True,False
439,7.301451,,,,257446.5,True,False
440,7.318083,,,,233124.0,True,False
441,7.334715,,,,233902.0,True,False
442,7.351347,,,,218122.5,True,False
443,7.367979,,,,218473.0,True,False
444,7.384611,,,,217030.0,True,False
445,7.401243,,,,219439.5,True,False
446,7.417875,,,,220506.0,True,False
447,7.434507,,,,219071.5,True,False
448,7.451139,,,,213608.0,True,False
449,7.467771,,,,212529.0,True,False
450,7.484403,,,,220821.5,True,False
451,7.501035,,,,220617.0,True,False
452,7.517667,,,,215873.0,True,False
453,7.534299,,,,215664.5,True,False
454,7.550931,,,,214680.5,True,False
455,7.567563,,,,213207.5,True,False
456,7.584195,,,,211647.5,True,False
457,7.600827,,,,213491.5,True,False
458,7.617459,,,,214277.0,True,False
459,7.634091,,,,212428.0,True,False
